Time	Open	High	Low	Close	Volume
2009-12-08 00:00:00	89.35	89.44	88.17	88.385	672813	18
2009-12-09 00:00:00	88.385	88.69	87.36	88.08	584491	17
2009-12-10 00:00:00	88.08	88.45	87.725	88.255	347920	17
2009-12-11 00:00:00	88.255	89.805	88.255	89.095	529719	16
2009-12-13 00:00:00	88.935	89.32	88.91	89.26	11562	33
2009-12-14 00:00:00	89.255	89.285	88.315	88.68	566739	19
2009-12-15 00:00:00	88.68	89.95	88.605	89.495	527961	12
2009-12-16 00:00:00	89.495	89.98	89.38	89.855	448954	16
2009-12-17 00:00:00	89.855	90.365	89.555	89.665	541277	12
2009-12-18 00:00:00	89.665	90.91	88.91	90.46	505933	18
2009-12-20 00:00:00	90.265	90.66	90.26	90.435	8731	85
2009-12-21 00:00:00	90.435	91.23	90.235	91.075	445088	19
2009-12-22 00:00:00	91.07	91.865	91	91.81	479831	14
2009-12-23 00:00:00	91.81	91.87	91.31	91.645	265050	14
2009-12-24 00:00:00	91.64	91.775	91.13	91.525	252919	19
2009-12-27 00:00:00	91.405	91.605	91.405	91.46	5214	51
2009-12-28 00:00:00	91.46	91.765	91.405	91.7	269384	18
2009-12-29 00:00:00	91.7	92.075	91.525	91.98	416624	17
2009-12-30 00:00:00	91.98	92.76	91.975	92.45	355498	16
2009-12-31 00:00:00	92.445	93.14	91.91	92.97	217361	9
2010-01-03 00:00:00	92.975	93.085	92.68	92.735	19829	32
2010-01-04 00:00:00	92.735	93.21	92.185	92.475	554199	17
2010-01-05 00:00:00	92.46	92.515	91.24	91.55	603828	17
2010-01-06 00:00:00	91.55	92.74	91.52	92.355	612507	19
2010-01-07 00:00:00	92.355	93.765	92.1	93.445	568225	14
2010-01-08 00:00:00	93.445	93.67	92.28	92.65	550614	17
2010-01-10 00:00:00	92.58	92.615	92.215	92.35	16058	30
2010-01-11 00:00:00	92.35	92.66	91.81	92.1	559669	15
2010-01-12 00:00:00	92.1	92.425	90.72	91.1	602201	15
2010-01-13 00:00:00	91.095	91.56	90.9	91.395	682253	17
2010-01-14 00:00:00	91.39	92.04	90.84	91.27	543328	16
2010-01-15 00:00:00	91.27	91.315	90.6	90.75	616514	17
2010-01-17 00:00:00	90.745	90.995	90.725	90.845	12667	53
2010-01-18 00:00:00	90.845	91.06	90.56	90.7	353604	14
2010-01-19 00:00:00	90.7	91.26	90.315	91.2	635228	15
2010-01-20 00:00:00	91.2	91.46	90.79	91.195	622812	16
2010-01-21 00:00:00	91.2	91.87	89.855	90.435	676667	18
2010-01-22 00:00:00	90.435	90.565	89.78	89.81	646627	16
2010-01-24 00:00:00	90.255	90.255	89.845	89.995	8096	29
2010-01-25 00:00:00	89.995	90.465	89.81	90.4	498261	17
2010-01-26 00:00:00	90.41	90.55	89.335	89.645	581112	14
2010-01-27 00:00:00	89.64	90.08	89.135	89.965	540515	9
2010-01-28 00:00:00	89.965	90.55	89.625	89.785	546666	12
2010-01-29 00:00:00	89.79	90.92	89.585	90.26	481705	13
2010-01-31 00:00:00	89.875	90.285	89.85	90.245	11293	39
2010-02-01 00:00:00	90.24	90.945	89.99	90.77	386128	11
2010-02-02 00:00:00	90.77	90.91	90.265	90.445	452565	8
2010-02-03 00:00:00	90.445	91.275	90.075	90.85	514163	10
2010-02-04 00:00:00	90.85	91.075	88.55	89.37	454461	11
2010-02-05 00:00:00	89.375	89.885	88.815	89.22	475204	12
2010-02-07 00:00:00	89.485	89.485	89.14	89.26	11389	41
2010-02-08 00:00:00	89.26	89.56	89.145	89.225	456599	10
2010-02-09 00:00:00	89.225	89.935	89.215	89.805	537181	13
