ts,middle_bid_price,largest_bid_price,largest_bid_size,largest_bid_size_price,largest_bid_size_value,top_5_bid_size_sum,middle_ask_price,largest_ask_price,largest_ask_size,largest_ask_size_price,largest_ask_size_value,top_5_ask_size_sum,ts_diff
1738023185000,3188.1954218572523,3190.2,5.62,3187.68,113.4,358.38,3192.7089171941875,3196.85,0.04,3192.48,96.32,295.65,1.0
1738023190000,3190.10748101492,3191.52,0.96,3189.5,87.55,139.64,3193.8572665096754,3198.13,0.0,3193.92,73.12,269.31,2.0
1738023195000,3191.096880610413,3192.57,21.9,3190.15,81.15,158.54,3194.1806321296854,3198.63,0.0,3193.63,22.21,78.21000000000001,1.0
1738023200000,3190.2057395733314,3192.12,2.89,3190.21,78.31,192.35,3194.734971504345,3198.55,3.98,3195.33,81.13,235.61,2.0
1738023205000,3190.6432913479016,3192.57,24.77,3190.2,78.31,156.7,3194.254207534852,3198.54,0.0,3194.26,43.22,171.11,1.0
1738023210000,3190.2160341941653,3192.16,0.36,3189.49,78.39,139.35,3194.006433749573,3198.19,0.0,3194.67,108.79,206.83,1.0
1738023215000,3189.6509855479726,3190.69,4.18,3190.66,14.77,42.66,3194.148030209406,3194.67,30.47,3194.21,78.35,139.12,1.0
1738023220000,3189.680241801331,3190.9,6.47,3189.02,80.58,147.98,3193.5590571184084,3194.15,0.0,3194.13,78.41,173.81,1.0
1738023225000,3187.4081257180014,3189.46,8.95,3187.2,67.18,255.68,3192.1875975105504,3195.95,0.17,3192.16,51.48,178.25,1.0
1738023230000,3187.3468359527533,3188.64,35.35,3186.26,78.42,234.81,3190.6719676659864,3191.66,11.59,3191.37,100.64,186.21,1.0
1738023235000,3186.7096677892055,3188.05,9.49,3186.02,79.73,214.82,3190.506540907002,3194.8,0.02,3191.13,81.59,211.86,1.0
1738023240000,3187.022453426721,3189.41,0.1,3185.97,361.51,697.9399999999999,3192.4388610888604,3195.79,6.7,3193.6,117.65,416.46999999999997,6.0
1738023245000,3188.0933367324546,3190.07,1.29,3188.17,105.87,322.86,3191.9490270224333,3196.54,0.0,3192.56,78.37,274.18,2.0
1738023250000,3187.7157577256894,3189.9,0.01,3185.17,85.04,281.25,3191.926255353755,3196.29,0.0,3192.73,78.38,204.13,2.0
1738023255000,3188.578724294919,3190.55,1.14,3188.23,89.8,293.05,3193.3049427176757,3196.84,0.01,3194.31,303.6,723.47,4.0
1738023260000,3188.1236079830824,3190.43,2.14,3187.79,78.59,248.13,3191.696079335034,3196.58,0.0,3191.2,44.73,99.28,2.0
1738023265000,3187.938042514554,3190.0,0.01,3187.54,78.54,163.16,3192.515359971016,3196.32,0.0,3192.66,85.02,180.47,1.0
1738023270000,3186.025820255227,3189.0,16.09,3184.31,98.16,158.03,3191.919966061732,3195.39,0.0,3193.68,89.0,247.36,2.0
1738023275000,3186.415894429898,3189.01,21.72,3186.47,81.57,243.04999999999998,3190.668373561811,3195.44,1.33,3191.61,80.28,246.01,1.0
1738023280000,3186.4592180677355,3188.1,0.0,3185.8,85.92,168.64000000000001,3190.7318582860266,3194.77,0.0,3190.91,78.42,207.66,2.0
1738023285000,3187.3012089810018,3188.69,11.04,3186.88,37.22,122.17999999999999,3191.0972297157086,3195.21,7.5,3190.14,22.38,41.81,1.0
1738023290000,3187.043241967368,3188.79,0.94,3185.94,78.4,191.66,3190.5886070995994,3195.23,3.96,3191.06,96.46,191.07999999999998,1.0
1738023295000,3186.6311336515514,3188.37,10.03,3185.87,81.26,150.81,3190.427340114706,3193.18,10.0,3191.01,81.59,145.01000000000002,2.0
1738023300000,3186.117389279994,3187.2,33.57,3185.34,78.74,171.76,3190.2699357345145,3194.4,0.02,3190.48,118.25,193.92000000000002,1.0
1738023305000,3184.3100436181976,3186.1,56.21,3183.04,317.03,624.15,3188.9227963599737,3192.58,27.73,3189.6,102.01,323.54,4.0
1738023310000,3185.026263729233,3186.15,0.01,3184.42,79.53,291.15999999999997,3188.9256109256453,3193.21,0.0,3189.57,83.41,213.0,2.0
1738023315000,3184.736827143512,3186.59,0.02,3184.26,78.46,197.79,3188.968820424138,3192.83,11.31,3189.37,82.92,156.29,2.0
1738023320000,3185.3322729892157,3186.92,23.54,3184.63,103.3,183.01,3189.3420798577035,3193.07,0.0,3189.75,91.79,151.09,1.0
1738023325000,3185.077145029106,3187.46,13.88,3181.97,117.05,360.59,3189.7395710796286,3193.6,0.02,3190.22,78.61,212.47,2.0
