date,daily_open,daily_high,daily_low,daily_close,total_volume,total_quote_volume,avg_vwap,avg_trade_size,avg_trade_count_change,avg_taker_buy_volume_ratio,daily_volume_change,avg_buy_sell_volume_imbalance,avg_relative_volume,avg_volume_volatility,count_volume_spikes,avg_price_to_volume_ratio,total_trades,avg_taker_buy_volume_change
2023-01-22,15092.0,15138.0,15055.0,15113.0,36018.0,543782325.0,2705.225638695318,13.407708333333332,0.0,0.07297101350994964,0.0,24.34722222222222,0.596227972281866,48.28773481129356,193,209.50951620081602,378,0.0
2023-01-23,15113.0,15130.0,14974.0,15094.0,78789.0,1190171033.0,2956.1784458622114,22.97638916446208,0.0,0.0748035276184977,0.0,53.77569444444445,0.6481268762531958,103.62130832022669,215,176.9385130706807,501,0.0
2023-01-24,15094.0,15110.0,14892.0,15065.0,195396.0,2934989156.0,2930.571101887084,41.24364470508898,0.0,0.09832533133403837,0.0,128.18333333333334,0.6138702647249503,237.30933172539204,198,139.49448079326825,877,0.0
2023-01-25,15065.0,15079.0,14941.0,15014.0,127581.0,1917590439.0,3173.3698904104963,37.25136721881513,0.0,0.11828687914595844,0.0,83.90347222222222,0.6510809181298783,151.49308221780774,220,157.3332214077476,685,0.0
2023-01-26,15014.0,15078.0,14936.0,15028.0,146603.0,2200478821.0,3021.4334240080884,39.471323044162766,0.0,0.11271198323777853,0.0,100.17986111111111,0.6380171070928488,172.71737849622775,220,115.01099285570528,852,0.0
2023-01-27,15028.0,15110.0,14963.0,15035.0,109308.0,1644313695.0,2966.557260404898,21.28279493750848,0.0,0.1000676838915118,0.0,74.88333333333334,0.6257725421179647,150.37481468505175,205,149.81822152433713,651,0.0
2023-01-28,15035.0,15122.0,15002.0,15108.0,108628.0,1636086784.0,2854.0287835174504,35.15747564935065,0.0,0.0832889919918085,0.0,71.16388888888889,0.5875644291562853,135.0829468961133,199,210.22762608230875,461,0.0
2023-01-29,15108.0,15108.0,14123.0,15001.0,202147.0,3024186800.0,3039.426874401111,38.573471370635396,0.0006944444444444445,0.10923952903960195,0.15694444444444444,139.31041666666667,0.592333155317741,250.86504778475106,202,169.43797658364443,880,0.0
2023-01-30,15001.0,15099.0,14964.0,15043.0,97938.0,1471875192.0,2711.654070555684,21.347968714399638,-0.0006944444444444445,0.09175093780462103,-0.15694444444444444,65.5,0.5995460549264926,120.27438314716166,199,141.54636581642447,667,0.0
2023-01-31,15043.0,15074.0,15017.0,15032.0,116115.0,1746978969.0,3081.177946413785,29.106357060185186,0.0,0.11808906333047309,0.0,79.38680555555555,0.601723679810729,151.16063902315034,193,117.2556538594303,819,0.0
2023-02-01,15032.0,15123.0,14944.0,14972.0,159789.0,2401450358.0,3016.1287809746264,42.01599786673928,0.0,0.11486423907095371,0.0,110.03541666666666,0.6002012435114695,195.01292418299485,202,156.13199867627736,551,0.0
2023-02-02,14972.0,14995.0,14817.0,14947.0,106036.0,1582496999.0,3161.8600694600837,28.877868716931218,0.0,0.10696350266079344,0.0,72.24305555555556,0.6912823186662537,133.53857672463238,231,173.49049489574298,539,0.0
2023-02-03,14947.0,15052.0,14908.0,14951.0,147130.0,2202463087.0,3074.66235620852,32.86904241583363,0.0,0.11690966545587368,0.0,100.6625,0.6375023520231969,176.62527923104633,213,151.96023658415646,606,0.0
